episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-24.93,1.0,0,0,0.0,wall_collision,,,1,0,0,0
2,0,-58.63,1.0,0,0,0.0,wall_collision,,,2,0,0,0
3,0,-47.21,1.0,0,0,0.0,wall_collision,,,3,0,0,0
4,0,-28.81,1.0,0,0,0.0,wall_collision,,,4,0,0,0
5,0,-27.54,1.0,0,0,0.0,wall_collision,,,5,0,0,0
6,0,-24.52,1.0,0,0,0.0,wall_collision,,,6,0,0,0
7,0,-36.81,1.0,0,0,0.0,wall_collision,,,7,0,0,0
8,0,-21.79,1.0,0,0,0.0,wall_collision,,,8,0,0,0
9,0,-52.3,1.0,0,0,0.0,wall_collision,,,9,0,0,1
10,1,-48.93,1.0,1,0,0.1,wall_collision,,,10,0,0,2
11,0,-22.24,1.0,1,0,0.09,wall_collision,,,11,0,0,2
12,0,-36.23,1.0,1,0,0.08,wall_collision,,,12,0,0,2
13,0,-60.84,1.0,1,0,0.08,no_food_timeout,,,12,0,1,2
14,0,-30.23,1.0,1,0,0.07,wall_collision,,,13,0,1,2
15,0,-54.92,1.0,1,0,0.07,wall_collision,,,14,0,1,2
16,0,-27.63,1.0,1,0,0.06,wall_collision,,,15,0,1,2
17,0,-47.37,1.0,1,0,0.06,wall_collision,,,16,0,1,2
18,0,-30.15,1.0,1,0,0.06,wall_collision,,,17,0,1,2
19,0,-21.14,1.0,1,0,0.05,wall_collision,,,18,0,1,2
20,1,-22.29,1.0,1,0,0.1,wall_collision,,,19,0,1,2
21,1,-17.63,1.0,1,0,0.14,wall_collision,,,20,0,1,2
22,0,-34.64,1.0,1,0,0.14,wall_collision,,,21,0,1,2
23,0,-20.2,1.0,1,0,0.13,wall_collision,,,22,0,1,2
24,0,-60.92,1.0,1,0,0.12,no_food_timeout,,,22,0,2,2
25,0,-23.34,1.0,1,0,0.12,wall_collision,,,23,0,2,2
26,0,-30.81,1.0,1,0,0.12,wall_collision,,,24,0,2,2
27,1,-8.58,1.0,1,0,0.15,wall_collision,,,25,0,2,2
28,0,-32.16,1.0,1,0,0.14,wall_collision,,,26,0,2,2
29,1,-70.8,1.0,1,0,0.17,no_food_timeout,,,26,0,3,2
30,0,-25.5,1.0,1,0,0.17,wall_collision,,,27,0,3,2
31,0,-61.0,1.0,1,0,0.16,no_food_timeout,,,27,0,4,2
32,0,-37.95,1.0,1,0,0.16,wall_collision,,,28,0,4,2
33,1,-50.56,1.0,1,0,0.18,wall_collision,,,29,0,4,3
34,0,-61.32,1.0,1,0,0.18,no_food_timeout,,,29,0,5,4
35,0,-23.58,1.0,1,0,0.17,wall_collision,,,30,0,5,4
36,0,-24.15,1.0,1,0.4027,0.17,wall_collision,,,31,0,5,4
37,0,-30.48,0.9996,1,0.1415,0.16,wall_collision,,,32,0,5,4
38,0,-30.6,0.9992,1,0.0767,0.16,wall_collision,,,33,0,5,4
39,0,-20.28,0.999,1,0.2048,0.15,wall_collision,,,34,0,5,4
40,0,-22.4,0.9987,1,0.3497,0.15,wall_collision,,,35,0,5,4
41,0,-26.85,0.9984,1,0.0689,0.15,wall_collision,,,36,0,5,4
42,0,-61.32,0.9974,1,0.0639,0.14,no_food_timeout,,,36,0,6,5
43,0,-34.36,0.997,1,0.0048,0.14,wall_collision,,,37,0,6,5
44,0,-41.74,0.9964,1,0.0016,0.14,wall_collision,,,38,0,6,5
45,0,-24.28,0.9961,1,0.1426,0.13,wall_collision,,,39,0,6,5
46,0,-52.31,0.9953,1,0.0758,0.13,wall_collision,,,40,0,6,5
47,0,-25.3,0.995,1,0.0169,0.13,wall_collision,,,41,0,6,5
48,0,-45.58,0.9943,1,0.0036,0.12,wall_collision,,,42,0,6,5
49,0,-52.26,0.9935,1,0.0646,0.12,wall_collision,,,43,0,6,7
50,0,-26.73,0.9931,1,0.0035,0.12,wall_collision,,,44,0,6,7
51,0,-34.76,0.9927,1,0.0048,0.12,wall_collision,,,45,0,6,8
52,0,-27.62,0.9923,1,0.0704,0.12,wall_collision,,,46,0,6,8
53,0,-61.08,0.9914,1,0.0759,0.12,no_food_timeout,,,46,0,7,8
54,0,-19.34,0.9912,1,0.0017,0.12,wall_collision,,,47,0,7,8
55,0,-59.24,0.9902,1,0.1185,0.12,wall_collision,,,48,0,7,8
56,0,-53.04,0.9894,1,0.0735,0.12,wall_collision,,,49,0,7,8
57,0,-27.54,0.9891,1,0.0032,0.12,wall_collision,,,50,0,7,8
58,0,-34.07,0.9886,1,0.0666,0.12,wall_collision,,,51,0,7,8
59,0,-54.06,0.9878,1,0.0023,0.12,wall_collision,,,52,0,7,8
60,0,-30.03,0.9874,1,0.0035,0.1,wall_collision,,,53,0,7,8
61,1,-49.3,0.9864,1,0.0021,0.12,wall_collision,,,54,0,7,8
62,0,-41.29,0.9858,1,0.0013,0.12,wall_collision,,,55,0,7,8
63,0,-33.62,0.9854,1,0.0166,0.12,wall_collision,,,56,0,7,8
64,0,-26.36,0.985,1,0.0022,0.12,wall_collision,,,57,0,7,8
65,0,-34.11,0.9846,1,0.003,0.12,wall_collision,,,58,0,7,8
66,0,-24.24,0.9843,1,0.0023,0.12,wall_collision,,,59,0,7,8
67,0,-39.09,0.9837,1,0.0641,0.12,wall_collision,,,60,0,7,8
68,0,-44.84,0.9831,1,0.0011,0.12,wall_collision,,,61,0,7,8
