episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-44.36,1.0,0,0,0.0,wall_collision,,,1,0,0,0
2,0,-31.17,1.0,0,0,0.0,wall_collision,,,2,0,0,0
3,0,-51.98,1.0,0,0,0.0,wall_collision,,,3,0,0,0
4,0,-61.72,1.0,0,0,0.0,no_food_timeout,,,3,0,1,4
5,0,-44.72,1.0,0,0,0.0,wall_collision,,,4,0,1,4
6,0,-50.51,1.0,0,0,0.0,wall_collision,,,5,0,1,4
7,0,-40.31,1.0,0,0,0.0,wall_collision,,,6,0,1,4
8,1,-6.46,1.0,1,0,0.12,wall_collision,,,7,0,1,4
9,0,-49.08,1.0,1,0,0.11,wall_collision,,,8,0,1,4
10,0,-52.1,1.0,1,0,0.1,wall_collision,,,9,0,1,4
11,0,-59.78,1.0,1,0,0.09,wall_collision,,,10,0,1,4
12,0,-49.77,1.0,1,0,0.08,wall_collision,,,11,0,1,5
13,0,-23.05,1.0,1,0,0.08,wall_collision,,,12,0,1,5
14,0,-20.77,1.0,1,0,0.07,wall_collision,,,13,0,1,5
15,0,-33.54,1.0,1,0,0.07,wall_collision,,,14,0,1,5
16,0,-23.09,1.0,1,0,0.06,wall_collision,,,15,0,1,5
17,0,-61.24,1.0,1,0,0.06,no_food_timeout,,,15,0,2,5
18,0,-38.11,1.0,1,0,0.06,wall_collision,,,16,0,2,5
19,0,-61.32,1.0,1,0,0.05,no_food_timeout,,,16,0,3,5
20,0,-23.91,1.0,1,0,0.05,wall_collision,,,17,0,3,5
21,0,-28.52,1.0,1,0,0.05,wall_collision,,,18,0,3,5
22,0,-61.08,1.0,1,0,0.05,no_food_timeout,,,18,0,4,5
23,0,-61.16,1.0,1,0,0.04,no_food_timeout,,,18,0,5,6
24,0,-20.61,1.0,1,0,0.04,wall_collision,,,19,0,5,6
25,0,-61.12,1.0,1,0,0.04,no_food_timeout,,,19,0,6,6
26,0,-37.33,1.0,1,0,0.04,wall_collision,,,20,0,6,6
27,0,-42.06,1.0,1,0,0.04,wall_collision,,,21,0,6,7
28,0,-61.0,1.0,1,0,0.04,no_food_timeout,,,21,0,7,7
29,0,-42.11,1.0,1,0,0.03,wall_collision,,,22,0,7,7
30,0,-61.28,1.0,1,0,0.03,no_food_timeout,,,22,0,8,8
31,0,-61.08,0.999,1,0.5755,0.03,no_food_timeout,,,22,0,9,8
32,0,-54.31,0.9982,1,0.2047,0.03,wall_collision,,,23,0,9,8
33,0,-42.39,0.9976,1,0.0039,0.03,wall_collision,,,24,0,9,8
34,0,-61.31,0.9966,1,0.2026,0.03,wall_collision,,,25,0,9,11
35,1,-18.45,0.9962,1,0.1288,0.06,wall_collision,,,26,0,9,11
36,0,-58.0,0.9953,1,0.2665,0.06,wall_collision,,,27,0,9,15
37,0,-61.32,0.9944,1,0.1863,0.05,no_food_timeout,,,27,0,10,16
38,0,-51.85,0.9936,1,0.0715,0.05,wall_collision,,,28,0,10,18
39,1,-20.25,0.9932,1,0.1667,0.08,wall_collision,,,29,0,10,18
40,0,-61.68,0.9922,1,0.1436,0.08,no_food_timeout,,,29,0,11,21
41,0,-37.25,0.9917,1,0.0062,0.07,wall_collision,,,30,0,11,21
