episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-58.05,1.0,0,0,0.0,wall_collision,,,1,0,0,2
2,0,-39.82,1.0,0,0,0.0,wall_collision,,,2,0,0,2
3,1,-25.27,1.0,1,0,0.33,wall_collision,,,3,0,0,2
4,0,-61.4,1.0,1,0,0.25,no_food_timeout,,,3,0,1,4
5,0,-60.06,1.0,1,0,0.2,wall_collision,,,4,0,1,4
6,0,-61.24,1.0,1,0,0.17,no_food_timeout,,,4,0,2,5
7,0,-24.69,1.0,1,0,0.14,wall_collision,,,5,0,2,5
8,0,-24.24,1.0,1,0,0.12,wall_collision,,,6,0,2,5
9,0,-43.21,1.0,1,0,0.11,wall_collision,,,7,0,2,5
10,0,-18.36,1.0,1,0,0.1,wall_collision,,,8,0,2,5
11,0,-61.04,1.0,1,0,0.09,no_food_timeout,,,8,0,3,5
12,1,-24.94,1.0,1,0,0.17,wall_collision,,,9,0,3,5
13,0,-26.28,1.0,1,0,0.15,wall_collision,,,10,0,3,5
14,0,-41.13,1.0,1,0,0.14,wall_collision,,,11,0,3,5
15,0,-28.36,1.0,1,0,0.13,wall_collision,,,12,0,3,5
16,1,-24.25,1.0,1,0,0.19,wall_collision,,,13,0,3,5
17,0,-20.4,1.0,1,0,0.18,wall_collision,,,14,0,3,5
18,0,-61.24,1.0,1,0,0.17,no_food_timeout,,,14,0,4,6
19,0,-32.07,1.0,1,0,0.16,wall_collision,,,15,0,4,6
20,0,-50.14,1.0,1,0,0.15,wall_collision,,,16,0,4,7
21,1,-18.65,1.0,1,0,0.19,wall_collision,,,17,0,4,7
22,0,-28.07,1.0,1,0,0.18,wall_collision,,,18,0,4,7
23,1,-29.67,1.0,1,0,0.22,wall_collision,,,19,0,4,7
24,0,-56.63,1.0,1,0,0.21,wall_collision,,,20,0,4,7
25,0,-42.4,1.0,1,0,0.2,wall_collision,,,21,0,4,7
26,0,-39.45,1.0,1,0,0.19,wall_collision,,,22,0,4,9
27,0,-31.09,1.0,1,0,0.19,wall_collision,,,23,0,4,9
28,0,-61.32,1.0,1,0,0.18,no_food_timeout,,,23,0,5,10
29,0,-31.5,1.0,1,0,0.17,wall_collision,,,24,0,5,10
30,0,-26.08,1.0,1,0,0.17,wall_collision,,,25,0,5,10
31,0,-20.36,1.0,1,0,0.16,wall_collision,,,26,0,5,10
32,0,-61.6,1.0,1,0,0.16,no_food_timeout,,,26,0,6,13
33,0,-28.56,1.0,1,0,0.15,wall_collision,,,27,0,6,13
34,0,-23.95,1.0,1,0,0.15,wall_collision,,,28,0,6,13
35,1,-57.62,0.9992,1,0.0769,0.17,no_food_timeout,,,28,0,7,13
36,0,-24.93,0.9989,1,0.289,0.17,wall_collision,,,29,0,7,13
37,0,-37.94,0.9984,1,0.1309,0.16,wall_collision,,,30,0,7,14
38,0,-39.94,0.9978,1,0.0033,0.16,wall_collision,,,31,0,7,14
39,0,-26.93,0.9975,1,0.0818,0.15,wall_collision,,,32,0,7,14
40,0,-39.78,0.9969,1,0.0042,0.15,wall_collision,,,33,0,7,14
41,0,-45.12,0.9962,1,0.1404,0.15,wall_collision,,,34,0,7,15
42,0,-22.12,0.996,1,0.1222,0.14,wall_collision,,,35,0,7,15
43,0,-61.16,0.995,1,0.0046,0.14,no_food_timeout,,,35,0,8,16
44,0,-32.52,0.9946,1,0.1473,0.14,wall_collision,,,36,0,8,16
45,0,-26.93,0.9942,1,0.0714,0.13,wall_collision,,,37,0,8,17
46,1,-39.46,0.9935,1,0.0027,0.15,wall_collision,,,38,0,8,18
47,0,-32.52,0.9931,1,0.0019,0.15,wall_collision,,,39,0,8,18
48,0,-29.01,0.9927,1,0.0715,0.15,wall_collision,,,40,0,8,18
49,0,-35.83,0.9922,1,0.0708,0.14,wall_collision,,,41,0,8,18
50,0,-39.13,0.9916,1,0.0016,0.14,wall_collision,,,42,0,8,18
51,0,-61.32,0.9906,1,0.0715,0.14,no_food_timeout,,,42,0,9,20
52,0,-15.79,0.9905,1,0.0701,0.14,wall_collision,,,43,0,9,20
53,0,-61.08,0.9896,1,0.0039,0.12,no_food_timeout,,,43,0,10,21
54,1,-52.19,0.9886,1,0.1368,0.14,no_food_timeout,,,43,0,11,21
55,1,-27.76,0.988,1,0.2068,0.16,wall_collision,,,44,0,11,21
56,0,-29.54,0.9877,1,0.0038,0.16,wall_collision,,,45,0,11,21
57,0,-25.01,0.9874,1,0.0693,0.16,wall_collision,,,46,0,11,21
58,0,-33.7,0.9869,1,0.0044,0.16,wall_collision,,,47,0,11,21
59,0,-39.42,0.9863,1,0.07,0.16,wall_collision,,,48,0,11,21
60,0,-22.28,0.9861,1,0.1394,0.16,wall_collision,,,49,0,11,21
61,0,-61.12,0.9851,1,0.1319,0.16,no_food_timeout,,,49,0,12,21
62,0,-29.66,0.9847,1,0.1281,0.14,wall_collision,,,50,0,12,21
63,0,-29.46,0.9844,1,0.0042,0.14,wall_collision,,,51,0,12,21
64,0,-29.05,0.984,1,0.0069,0.14,wall_collision,,,52,0,12,21
65,0,-61.04,0.983,1,0.2034,0.14,no_food_timeout,,,52,0,13,21
