episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-25.13,1.0,0,0,0.0,wall_collision,,,1,0,0,0
2,1,-10.86,1.0,1,0,0.5,wall_collision,,,2,0,0,0
3,0,-61.0,1.0,1,0,0.33,no_food_timeout,,,2,0,1,0
4,0,-57.78,1.0,1,0,0.25,wall_collision,,,3,0,1,0
5,0,-35.78,1.0,1,0,0.2,wall_collision,,,4,0,1,0
6,0,-55.3,1.0,1,0,0.17,wall_collision,,,5,0,1,7
7,0,-29.25,1.0,1,0,0.14,wall_collision,,,6,0,1,7
8,0,-48.84,1.0,1,0,0.12,wall_collision,,,7,0,1,7
9,0,-32.07,0.9996,1,3.5481,0.11,wall_collision,,,8,0,1,7
10,0,-37.33,0.9991,1,3.0648,0.1,wall_collision,,,9,0,1,7
11,0,-41.41,0.9985,1,1.4734,0.09,wall_collision,,,10,0,1,7
12,0,-61.24,0.9975,1,1.6871,0.08,no_food_timeout,,,10,0,2,7
13,0,-20.28,0.9973,1,1.0691,0.08,wall_collision,,,11,0,2,7
14,0,-31.66,0.9969,1,1.1755,0.07,wall_collision,,,12,0,2,7
15,0,-52.15,0.9961,1,1.0187,0.07,wall_collision,,,13,0,2,7
16,0,-42.89,0.9954,1,1.2104,0.06,wall_collision,,,14,0,2,7
17,0,-33.29,0.995,1,2.4818,0.06,wall_collision,,,15,0,2,7
18,0,-43.05,0.9943,1,2.7807,0.06,wall_collision,,,16,0,2,7
19,0,-38.43,0.9938,1,0.7344,0.05,wall_collision,,,17,0,2,7
20,0,-61.08,0.9928,1,2.6859,0.05,no_food_timeout,,,17,0,3,7
21,2,-13.64,0.9924,2,2.8275,0.14,wall_collision,,,18,0,3,7
22,0,-61.6,0.9914,2,1.3085,0.14,no_food_timeout,,,18,0,4,10
23,0,-40.84,0.9908,2,1.0469,0.13,wall_collision,,,19,0,4,10
24,0,-21.55,0.9906,2,1.9218,0.12,wall_collision,,,20,0,4,10
25,0,-53.08,0.9897,2,0.5582,0.12,wall_collision,0.0,0,21,0,4,11
26,0,-61.68,0.9888,2,0.4364,0.12,no_food_timeout,,,21,0,5,14
27,0,-36.56,0.9883,2,0.9311,0.11,wall_collision,,,22,0,5,14
28,0,-35.54,0.9878,2,0.7706,0.11,wall_collision,,,23,0,5,14
29,0,-24.56,0.9875,2,0.5717,0.1,wall_collision,,,24,0,5,14
30,0,-56.96,0.9866,2,0.8417,0.1,wall_collision,,,25,0,5,14
31,0,-57.29,0.9857,2,0.5222,0.1,wall_collision,,,26,0,5,14
32,0,-61.4,0.9847,2,0.7533,0.09,no_food_timeout,,,26,0,6,16
33,0,-61.8,0.9837,2,0.8849,0.09,no_food_timeout,,,26,0,7,19
34,1,-30.08,0.9831,2,0.5791,0.12,wall_collision,,,27,0,7,19
35,0,-41.82,0.9825,2,0.9032,0.11,wall_collision,,,28,0,7,19
36,0,-39.17,0.982,2,0.7835,0.11,wall_collision,,,29,0,7,19
37,0,-28.15,0.9816,2,0.9006,0.11,wall_collision,,,30,0,7,19
38,0,-35.79,0.9811,2,0.2828,0.11,wall_collision,,,31,0,7,19
39,0,-24.85,0.9808,2,0.6112,0.1,wall_collision,,,32,0,7,19
40,1,-17.27,0.9805,2,0.9728,0.12,wall_collision,,,33,0,7,19
41,0,-61.08,0.9795,2,0.5614,0.12,no_food_timeout,,,33,0,8,19
42,0,-61.24,0.9785,2,0.6109,0.12,no_food_timeout,,,33,0,9,20
43,0,-51.94,0.9777,2,0.6059,0.12,wall_collision,,,34,0,9,20
44,0,-38.23,0.9772,2,0.8528,0.11,wall_collision,,,35,0,9,20
45,0,-33.05,0.9767,2,0.5756,0.11,wall_collision,,,36,0,9,20
46,1,-28.45,0.9762,2,0.4749,0.13,wall_collision,,,37,0,9,20
47,0,-61.32,0.9752,2,0.5471,0.13,no_food_timeout,,,37,0,10,22
48,0,-23.87,0.975,2,0.5488,0.12,wall_collision,,,38,0,10,22
49,0,-18.57,0.9748,2,0.7017,0.12,wall_collision,,,39,0,10,22
50,1,-33.02,0.9741,2,0.5806,0.14,wall_collision,0.7,2,40,0,10,22
