episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-61.28,1.0,0,0,0.0,no_food_timeout,,,0,0,1,1
2,0,-61.16,1.0,0,0,0.0,no_food_timeout,,,0,0,2,1
3,0,-19.06,1.0,0,0,0.0,wall_collision,,,1,0,2,1
4,0,-27.26,1.0,0,0,0.0,wall_collision,,,2,0,2,1
5,0,-61.56,1.0,0,0,0.0,no_food_timeout,,,2,0,3,3
6,1,-11.64,1.0,1,0,0.17,wall_collision,,,3,0,3,3
7,0,-42.39,1.0,1,0,0.14,wall_collision,,,4,0,3,3
8,0,-35.25,1.0,1,0,0.12,wall_collision,,,5,0,3,3
9,0,-61.36,1.0,1,0,0.11,no_food_timeout,,,5,0,4,4
10,0,-25.95,1.0,1,0,0.1,wall_collision,,,6,0,4,4
11,0,-23.22,1.0,1,0,0.09,wall_collision,,,7,0,4,4
12,0,-30.89,1.0,1,0,0.08,wall_collision,,,8,0,4,4
13,1,-80.75,1.0,1,0,0.15,no_food_timeout,,,8,0,5,6
14,0,-23.95,1.0,1,0,0.14,wall_collision,,,9,0,5,6
15,0,-47.04,1.0,1,0,0.13,wall_collision,,,10,0,5,6
16,0,-40.64,1.0,1,0,0.12,wall_collision,,,11,0,5,6
17,1,-23.88,1.0,1,0,0.18,wall_collision,,,12,0,5,6
18,0,-36.72,1.0,1,0,0.17,wall_collision,,,13,0,5,6
19,0,-61.6,1.0,1,0,0.16,no_food_timeout,,,13,0,6,9
20,0,-41.08,1.0,1,0,0.15,wall_collision,,,14,0,6,11
21,0,-27.34,1.0,1,0,0.14,wall_collision,,,15,0,6,11
22,0,-17.55,1.0,1,0,0.14,wall_collision,,,16,0,6,11
23,1,-23.43,1.0,1,0,0.17,wall_collision,,,17,0,6,11
24,1,-21.92,1.0,1,0,0.21,wall_collision,,,18,0,6,11
25,0,-38.23,1.0,1,0,0.2,wall_collision,,,19,0,6,11
26,0,-39.41,1.0,1,0,0.19,wall_collision,,,20,0,6,11
27,0,-61.96,1.0,1,0,0.19,no_food_timeout,,,20,0,7,14
28,0,-44.92,1.0,1,0,0.18,wall_collision,,,21,0,7,14
29,0,-57.65,1.0,1,0,0.17,wall_collision,,,22,0,7,14
30,1,-24.29,1.0,1,0,0.2,wall_collision,,,23,0,7,14
31,0,-61.4,1.0,1,0,0.19,no_food_timeout,,,23,0,8,15
32,0,-41.66,1.0,1,0.2305,0.19,wall_collision,,,24,0,8,15
33,0,-22.56,0.9997,1,0.4329,0.18,wall_collision,,,25,0,8,15
34,0,-30.52,0.9993,1,0.0749,0.18,wall_collision,,,26,0,8,15
35,0,-61.28,0.9983,1,0.3568,0.17,no_food_timeout,,,26,0,9,16
36,0,-39.29,0.9978,1,0.0624,0.17,wall_collision,,,27,0,9,16
37,1,-46.44,0.9969,1,0.3175,0.19,wall_collision,,,28,0,9,16
38,0,-42.31,0.9963,1,0.0822,0.18,wall_collision,,,29,0,9,16
39,0,-61.28,0.9953,1,0.0771,0.18,no_food_timeout,,,29,0,10,16
40,0,-44.72,0.9946,1,0.003,0.18,wall_collision,,,30,0,10,16
41,0,-62.32,0.9937,1,0.0042,0.17,no_food_timeout,,,30,0,11,22
42,0,-55.4,0.9928,1,0.0716,0.17,wall_collision,,,31,0,11,23
43,1,-33.75,0.9921,1,0.1393,0.19,wall_collision,,,32,0,11,24
44,0,-61.24,0.9912,1,0.0876,0.18,no_food_timeout,,,32,0,12,24
45,0,-61.8,0.9902,1,0.033,0.18,no_food_timeout,,,32,0,13,27
46,0,-61.4,0.9892,1,0.074,0.17,no_food_timeout,,,32,0,14,29
47,0,-34.84,0.9888,1,0.0752,0.17,wall_collision,,,33,0,14,29
48,0,-61.0,0.9878,1,0.0721,0.17,no_food_timeout,,,33,0,15,29
49,0,-61.04,0.9868,1,0.0694,0.16,no_food_timeout,,,33,0,16,29
50,0,-28.4,0.9865,1,0.0031,0.16,wall_collision,,,34,0,16,29
51,0,-31.7,0.986,1,0.0046,0.16,wall_collision,,,35,0,16,29
52,0,-39.78,0.9855,1,0.0026,0.16,wall_collision,,,36,0,16,29
53,1,-34.04,0.9848,1,0.0645,0.18,wall_collision,,,37,0,16,29
54,0,-61.08,0.9838,1,0.0021,0.18,no_food_timeout,,,37,0,17,29
55,0,-61.08,0.9829,1,0.0027,0.18,no_food_timeout,,,37,0,18,29
56,2,-37.44,0.9819,2,0.002,0.2,wall_collision,,,38,0,18,29
57,0,-61.32,0.981,2,0.1944,0.2,no_food_timeout,,,38,0,19,30
58,0,-35.29,0.9805,2,0.0051,0.2,wall_collision,,,39,0,19,30
59,0,-58.13,0.9796,2,0.0044,0.2,wall_collision,,,40,0,19,32
60,0,-23.83,0.9793,2,0.0612,0.2,wall_collision,,,41,0,19,32
61,0,-48.88,0.9786,2,0.0019,0.2,wall_collision,,,42,0,19,32
62,0,-37.17,0.978,2,0.07,0.2,wall_collision,,,43,0,19,32
63,0,-26.56,0.9777,2,0.1159,0.18,wall_collision,,,44,0,19,32
64,0,-19.75,0.9775,2,0.0015,0.18,wall_collision,,,45,0,19,32
65,0,-36.72,0.977,2,0.0011,0.18,wall_collision,,,46,0,19,32
66,0,-23.42,0.9767,2,0.0012,0.18,wall_collision,,,47,0,19,32
67,1,-39.55,0.976,2,0.073,0.18,wall_collision,,,48,0,19,32
68,0,-23.99,0.9757,2,0.005,0.18,wall_collision,,,49,0,19,32
69,0,-30.72,0.9753,2,0.1385,0.18,wall_collision,,,50,0,19,32
70,0,-44.47,0.9747,2,0.0563,0.18,wall_collision,,,51,0,19,33
