episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-24.4,1.0,0,0,0.0,wall_collision,,,1,0,0,0
2,0,-60.71,1.0,0,0,0.0,wall_collision,,,2,0,0,0
3,1,-26.08,1.0,1,0,0.33,wall_collision,,,3,0,0,0
4,0,-61.08,1.0,1,0,0.25,no_food_timeout,,,3,0,1,0
5,0,-37.78,1.0,1,0,0.2,wall_collision,,,4,0,1,0
6,0,-28.64,1.0,1,0,0.17,wall_collision,,,5,0,1,0
7,0,-21.38,1.0,1,0,0.14,wall_collision,,,6,0,1,0
8,0,-52.38,1.0,1,0,0.12,wall_collision,,,7,0,1,1
9,0,-34.89,1.0,1,0,0.11,wall_collision,,,8,0,1,1
10,0,-48.06,1.0,1,0,0.1,wall_collision,,,9,0,1,1
11,0,-19.18,1.0,1,0,0.09,wall_collision,,,10,0,1,1
12,0,-61.28,1.0,1,0,0.08,no_food_timeout,,,10,0,2,2
13,1,-13.11,1.0,1,0,0.15,wall_collision,,,11,0,2,2
14,0,-61.64,1.0,1,0,0.14,no_food_timeout,,,11,0,3,5
15,0,-38.92,1.0,1,0,0.13,wall_collision,,,12,0,3,6
16,0,-32.03,1.0,1,0,0.12,wall_collision,,,13,0,3,6
17,0,-27.66,1.0,1,0,0.12,wall_collision,,,14,0,3,6
18,0,-22.44,1.0,1,0,0.11,wall_collision,,,15,0,3,6
19,0,-62.24,1.0,1,0,0.11,no_food_timeout,,,15,0,4,12
20,0,-28.07,1.0,1,0,0.1,wall_collision,,,16,0,4,12
21,0,-20.81,1.0,1,0,0.1,wall_collision,,,17,0,4,12
22,0,-27.58,1.0,1,0,0.09,wall_collision,,,18,0,4,12
23,0,-61.48,1.0,1,0,0.09,no_food_timeout,,,18,0,5,14
24,0,-51.24,1.0,1,0,0.08,wall_collision,,,19,0,5,15
25,0,-32.23,1.0,1,0,0.08,wall_collision,,,20,0,5,15
26,0,-35.25,1.0,1,0,0.08,wall_collision,,,21,0,5,15
27,0,-48.38,1.0,1,0,0.07,wall_collision,,,22,0,5,17
28,0,-31.25,1.0,1,0,0.07,wall_collision,,,23,0,5,18
29,0,-62.52,1.0,1,0,0.07,no_food_timeout,,,23,0,6,25
30,0,-48.31,1.0,1,0,0.07,wall_collision,,,24,0,6,25
31,0,-27.5,1.0,1,0,0.06,wall_collision,,,25,0,6,25
32,0,-61.28,1.0,1,0,0.06,no_food_timeout,,,25,0,7,26
33,0,-61.72,0.9999,1,0.2837,0.06,no_food_timeout,,,25,0,8,29
34,0,-61.12,0.999,1,0.0009,0.06,no_food_timeout,,,25,0,9,29
35,0,-30.6,0.9985,1,0.2681,0.06,wall_collision,,,26,0,9,29
36,0,-25.54,0.9982,1,0.0577,0.06,wall_collision,,,27,0,9,29
37,0,-26.36,0.9979,1,0.0712,0.05,wall_collision,,,28,0,9,29
38,0,-61.84,0.9969,1,0.0019,0.05,no_food_timeout,,,28,0,10,32
39,0,-34.36,0.9964,1,0.0009,0.05,wall_collision,,,29,0,10,32
40,0,-20.44,0.9962,1,0.0216,0.05,wall_collision,,,30,0,10,32
41,0,-33.87,0.9958,1,0.002,0.05,wall_collision,,,31,0,10,32
42,0,-31.65,0.9953,1,0.2189,0.05,wall_collision,,,32,0,10,35
43,1,-13.11,0.9951,1,0.0755,0.07,wall_collision,,,33,0,10,35
44,0,-61.2,0.9941,1,0.1382,0.07,no_food_timeout,,,33,0,11,35
45,0,-34.68,0.9936,1,0.0017,0.07,wall_collision,,,34,0,11,35
46,0,-18.4,0.9934,1,0.0021,0.07,wall_collision,,,35,0,11,35
47,0,-24.85,0.9931,1,0.0013,0.06,wall_collision,,,36,0,11,35
48,0,-56.75,0.9922,1,0.0648,0.06,wall_collision,,,37,0,11,35
49,0,-54.88,0.9913,1,0.2098,0.06,wall_collision,,,38,0,11,35
50,0,-28.15,0.991,1,0.0719,0.06,wall_collision,,,39,0,11,35
51,0,-61.08,0.99,1,0.0042,0.06,no_food_timeout,,,39,0,12,35
52,0,-24.85,0.9897,1,0.0094,0.06,wall_collision,,,40,0,12,35
53,0,-22.73,0.9894,1,0.0024,0.04,wall_collision,,,41,0,12,35
54,0,-43.82,0.9888,1,0.1412,0.04,wall_collision,,,42,0,12,35
55,0,-19.95,0.9886,1,0.0027,0.04,wall_collision,,,43,0,12,35
56,0,-61.88,0.9876,1,0.2003,0.04,no_food_timeout,,,43,0,13,39
57,0,-53.53,0.9867,1,0.0658,0.04,wall_collision,,,44,0,13,39
58,0,-33.78,0.9863,1,0.002,0.04,wall_collision,,,45,0,13,39
59,0,-61.56,0.9853,1,0.0048,0.04,no_food_timeout,,,45,0,14,41
60,0,-41.25,0.9847,1,0.0028,0.04,wall_collision,,,46,0,14,41
61,0,-46.96,0.9839,1,0.002,0.04,wall_collision,,,47,0,14,41
62,0,-30.07,0.9835,1,0.1239,0.04,wall_collision,,,48,0,14,41
63,0,-25.87,0.9832,1,0.0021,0.02,wall_collision,,,49,0,14,41
64,0,-32.64,0.9828,1,0.0022,0.02,wall_collision,,,50,0,14,41
65,0,-38.03,0.9822,1,0.0025,0.02,wall_collision,,,51,0,14,41
66,0,-60.71,0.9812,1,0.0016,0.02,wall_collision,,,52,0,14,41
67,0,-28.8,0.9809,1,0.0711,0.02,wall_collision,,,53,0,14,42
