episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-33.17,1.0,0,0,0.0,wall_collision,,,1,0,0,0
2,0,-22.97,1.0,0,0,0.0,wall_collision,,,2,0,0,0
3,0,-28.15,1.0,0,0,0.0,wall_collision,,,3,0,0,0
4,0,-34.19,1.0,0,0,0.0,wall_collision,,,4,0,0,0
5,0,-60.92,1.0,0,0,0.0,no_food_timeout,,,4,0,1,0
6,0,-59.19,1.0,0,0,0.0,wall_collision,,,5,0,1,3
7,1,-83.57,1.0,1,0,0.14,no_food_timeout,,,5,0,2,4
8,0,-61.0,1.0,1,0,0.12,no_food_timeout,,,5,0,3,4
9,0,-61.08,1.0,1,0,0.11,no_food_timeout,,,5,0,4,4
10,0,-28.44,1.0,1,0,0.1,wall_collision,,,6,0,4,4
11,0,-39.13,1.0,1,0,0.09,wall_collision,,,7,0,4,4
12,0,-29.42,1.0,1,0,0.08,wall_collision,,,8,0,4,4
13,0,-38.35,1.0,1,0,0.08,wall_collision,,,9,0,4,4
14,0,-35.7,1.0,1,0,0.07,wall_collision,,,10,0,4,4
15,0,-27.42,1.0,1,0,0.07,wall_collision,,,11,0,4,4
16,0,-57.37,1.0,1,0,0.06,wall_collision,,,12,0,4,4
17,0,-40.35,1.0,1,0,0.06,wall_collision,,,13,0,4,4
18,0,-20.69,1.0,1,0,0.06,wall_collision,,,14,0,4,4
19,0,-44.35,1.0,1,0,0.05,wall_collision,,,15,0,4,4
20,0,-61.68,1.0,1,0,0.05,no_food_timeout,,,15,0,5,6
21,1,-35.27,1.0,1,0,0.1,wall_collision,,,16,0,5,6
22,0,-61.0,1.0,1,0,0.09,no_food_timeout,,,16,0,6,6
23,0,-61.64,1.0,1,0,0.09,no_food_timeout,,,16,0,7,9
24,0,-37.29,1.0,1,0,0.08,wall_collision,,,17,0,7,10
25,0,-50.14,1.0,1,0,0.08,wall_collision,,,18,0,7,10
26,0,-61.08,1.0,1,0,0.08,no_food_timeout,,,18,0,8,10
27,0,-40.03,1.0,1,0,0.07,wall_collision,,,19,0,8,10
28,0,-19.34,1.0,1,0,0.07,wall_collision,,,20,0,8,10
29,0,-41.33,1.0,1,0,0.07,wall_collision,,,21,0,8,10
30,0,-35.58,0.9997,1,0.0775,0.07,wall_collision,,,22,0,8,10
31,0,-20.36,0.9996,1,0.289,0.06,wall_collision,,,23,0,8,10
32,0,-56.67,0.9988,1,0.0697,0.06,wall_collision,,,24,0,8,11
33,0,-27.34,0.9986,1,0.0753,0.06,wall_collision,,,25,0,8,11
34,0,-39.25,0.9981,1,0.2792,0.06,wall_collision,,,26,0,8,11
35,0,-20.24,0.9979,1,0.1828,0.06,wall_collision,,,27,0,8,11
36,0,-24.56,0.9977,1,0.0418,0.06,wall_collision,,,28,0,8,11
37,0,-37.17,0.9972,1,0.0043,0.05,wall_collision,,,29,0,8,11
38,0,-49.73,0.9966,1,0.003,0.05,wall_collision,,,30,0,8,12
39,1,-14.13,0.9964,1,0.0029,0.08,wall_collision,,,31,0,8,12
40,0,-32.32,0.996,1,0.0768,0.08,wall_collision,,,32,0,8,12
41,1,-26.33,0.9956,1,0.1426,0.1,wall_collision,,,33,0,8,12
42,0,-31.58,0.9952,1,0.1442,0.1,wall_collision,,,34,0,8,12
43,0,-35.01,0.9948,1,0.0012,0.09,wall_collision,,,35,0,8,12
44,0,-37.01,0.9944,1,0.0023,0.09,wall_collision,,,36,0,8,12
45,0,-35.05,0.994,1,0.1427,0.09,wall_collision,,,37,0,8,12
46,0,-61.24,0.9932,1,0.07,0.09,no_food_timeout,,,37,0,9,13
47,0,-24.44,0.993,1,0.0683,0.09,wall_collision,,,38,0,9,13
48,0,-25.5,0.9927,1,0.141,0.08,wall_collision,,,39,0,9,13
49,0,-61.32,0.9919,1,0.0929,0.08,no_food_timeout,,,39,0,10,14
50,1,-49.95,0.9911,1,0.0688,0.1,wall_collision,,,40,0,10,15
