episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-42.43,1.0,0,0,0.0,wall_collision,,,1,0,0,0
2,0,-22.65,1.0,0,0,0.0,wall_collision,,,2,0,0,0
3,0,-22.24,1.0,0,0,0.0,wall_collision,,,3,0,0,0
4,0,-27.63,1.0,0,0,0.0,wall_collision,,,4,0,0,0
5,0,-17.71,1.0,0,0,0.0,wall_collision,,,5,0,0,0
6,0,-61.0,1.0,0,0,0.0,no_food_timeout,,,5,0,1,0
7,0,-45.49,1.0,0,0,0.0,wall_collision,,,6,0,1,0
8,0,-59.15,1.0,0,0,0.0,wall_collision,,,7,0,1,2
9,0,-32.97,1.0,0,0,0.0,wall_collision,,,8,0,1,2
10,1,-72.47,1.0,1,0,0.1,wall_collision,,,9,0,1,2
11,0,-61.56,1.0,1,0,0.09,no_food_timeout,,,9,0,2,4
12,0,-61.12,1.0,1,0,0.08,no_food_timeout,,,9,0,3,4
13,0,-37.33,1.0,1,0,0.08,wall_collision,,,10,0,3,4
14,0,-23.91,1.0,1,0,0.07,wall_collision,,,11,0,3,4
15,0,-53.33,1.0,1,0,0.07,wall_collision,,,12,0,3,4
16,0,-23.5,1.0,1,0,0.06,wall_collision,,,13,0,3,4
17,0,-34.72,1.0,1,0,0.06,wall_collision,,,14,0,3,4
18,1,-61.21,1.0,1,0,0.11,wall_collision,,,15,0,3,6
19,0,-27.54,1.0,1,0,0.11,wall_collision,,,16,0,3,6
20,0,-22.4,1.0,1,0,0.1,wall_collision,,,17,0,3,6
21,0,-32.52,1.0,1,0,0.1,wall_collision,,,18,0,3,6
22,0,-60.14,1.0,1,0,0.09,wall_collision,,,19,0,3,6
23,0,-21.46,1.0,1,0,0.09,wall_collision,,,20,0,3,6
24,0,-31.05,1.0,1,0,0.08,wall_collision,,,21,0,3,6
25,0,-61.4,1.0,1,0,0.08,no_food_timeout,,,21,0,4,7
26,0,-36.15,1.0,1,0,0.08,wall_collision,,,22,0,4,7
27,0,-60.88,1.0,1,0,0.07,no_food_timeout,,,22,0,5,7
28,0,-61.08,1.0,1,0,0.07,no_food_timeout,,,22,0,6,8
29,0,-24.12,1.0,1,0,0.07,wall_collision,,,23,0,6,8
30,0,-40.64,1.0,1,0,0.07,wall_collision,,,24,0,6,8
31,0,-20.94,1.0,1,0,0.06,wall_collision,,,25,0,6,8
32,0,-43.09,1.0,1,0,0.06,wall_collision,,,26,0,6,8
33,0,-43.9,0.9994,1,0.1377,0.06,wall_collision,,,27,0,6,8
34,0,-61.0,0.9981,1,0.1173,0.06,no_food_timeout,,,27,0,7,8
35,0,-33.66,0.9976,1,0.0046,0.06,wall_collision,,,28,0,7,8
36,0,-42.96,0.9968,1,0.0754,0.06,wall_collision,,,29,0,7,8
37,0,-32.68,0.9962,1,0.0724,0.05,wall_collision,,,30,0,7,8
38,0,-55.94,0.9951,1,0.1176,0.05,wall_collision,,,31,0,7,8
39,0,-23.38,0.9948,1,0.1269,0.05,wall_collision,,,32,0,7,8
40,0,-43.49,0.994,1,0.0022,0.05,wall_collision,,,33,0,7,8
41,0,-42.47,0.9932,1,0.0025,0.05,wall_collision,,,34,0,7,8
42,0,-17.96,0.993,1,0.0054,0.05,wall_collision,,,35,0,7,8
43,0,-61.36,0.9918,1,0.0709,0.05,no_food_timeout,,,35,0,8,9
44,0,-57.56,0.9907,1,0.0016,0.05,wall_collision,,,36,0,8,13
45,0,-25.59,0.9903,1,0.0717,0.04,wall_collision,,,37,0,8,13
46,0,-33.66,0.9897,1,0.0687,0.04,wall_collision,,,38,0,8,13
47,0,-19.34,0.9895,1,0.0701,0.04,wall_collision,,,39,0,8,13
48,0,-27.87,0.9891,1,0.0023,0.04,wall_collision,,,40,0,8,13
49,1,-12.13,0.9888,1,0.0703,0.06,wall_collision,,,41,0,8,13
50,0,-60.05,0.9876,1,0.0063,0.06,wall_collision,,,42,0,8,15
