episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-30.6,1.0,0,0,0.0,wall_collision,,,1,0,0,0
2,0,-35.73,1.0,0,0,0.0,wall_collision,,,2,0,0,2
3,0,-31.42,1.0,0,0,0.0,wall_collision,,,3,0,0,3
4,0,-37.66,1.0,0,0,0.0,wall_collision,,,4,0,0,3
5,0,-44.31,1.0,0,0,0.0,wall_collision,,,5,0,0,3
6,0,-18.32,1.0,0,0,0.0,wall_collision,,,6,0,0,3
7,0,-22.97,1.0,0,0,0.0,wall_collision,,,7,0,0,3
8,0,-45.65,1.0,0,0,0.0,wall_collision,,,8,0,0,4
9,0,-61.0,1.0,0,0,0.0,no_food_timeout,,,8,0,1,4
10,0,-44.55,1.0,0,0,0.0,wall_collision,,,9,0,1,5
11,0,-38.64,1.0,0,0,0.0,wall_collision,,,10,0,1,5
12,0,-33.25,1.0,0,0,0.0,wall_collision,,,11,0,1,5
13,0,-33.58,1.0,0,0,0.0,wall_collision,,,12,0,1,6
14,0,-31.7,1.0,0,0,0.0,wall_collision,,,13,0,1,6
15,0,-35.09,1.0,0,0,0.0,wall_collision,,,14,0,1,6
16,0,-52.65,1.0,0,0,0.0,wall_collision,,,15,0,1,12
17,0,-31.58,1.0,0,0,0.0,wall_collision,,,16,0,1,12
18,0,-29.13,1.0,0,0,0.0,wall_collision,,,17,0,1,12
19,0,-31.38,1.0,0,0,0.0,wall_collision,,,18,0,1,12
20,0,-30.19,1.0,0,0,0.0,wall_collision,,,19,0,1,12
21,0,-25.13,1.0,0,0,0.0,wall_collision,,,20,0,1,12
22,0,-32.19,1.0,0,0,0.0,wall_collision,,,21,0,1,12
23,0,-42.44,1.0,0,0,0.0,wall_collision,,,22,0,1,12
24,1,-48.23,1.0,1,0,0.04,wall_collision,,,23,0,1,12
25,0,-61.12,1.0,1,0,0.04,no_food_timeout,,,23,0,2,13
26,0,-28.48,1.0,1,0,0.04,wall_collision,,,24,0,2,13
27,0,-23.62,1.0,1,0,0.04,wall_collision,,,25,0,2,13
28,0,-32.03,1.0,1,0,0.04,wall_collision,,,26,0,2,13
29,0,-48.72,1.0,1,0,0.03,wall_collision,,,27,0,2,13
30,0,-39.25,1.0,1,0,0.03,wall_collision,,,28,0,2,13
31,0,-52.39,1.0,1,0,0.03,wall_collision,,,29,0,2,13
32,0,-18.61,1.0,1,0,0.03,wall_collision,,,30,0,2,13
33,0,-48.18,1.0,1,0,0.03,wall_collision,,,31,0,2,15
34,1,-29.31,1.0,1,0,0.06,wall_collision,,,32,0,2,15
35,0,-61.12,1.0,1,0,0.06,no_food_timeout,,,32,0,3,15
36,1,-35.79,0.9999,1,0.2521,0.08,wall_collision,,,33,0,3,16
37,0,-61.0,0.9989,1,0.0019,0.08,no_food_timeout,,,33,0,4,16
38,0,-18.24,0.9988,1,0.1945,0.08,wall_collision,,,34,0,4,16
39,0,-36.93,0.9982,1,0.1466,0.08,wall_collision,,,35,0,4,16
40,0,-32.19,0.9978,1,0.1593,0.08,wall_collision,,,36,0,4,16
41,0,-26.89,0.9975,1,0.0351,0.07,wall_collision,,,37,0,4,16
42,0,-26.97,0.9972,1,0.0133,0.07,wall_collision,,,38,0,4,16
43,0,-61.72,0.9962,1,0.0033,0.07,no_food_timeout,,,38,0,5,19
44,0,-29.09,0.9958,1,0.0764,0.07,wall_collision,,,39,0,5,19
45,0,-53.13,0.995,1,0.016,0.07,wall_collision,,,40,0,5,19
46,0,-26.65,0.9947,1,0.003,0.07,wall_collision,,,41,0,5,19
47,0,-35.17,0.9942,1,0.0711,0.06,wall_collision,,,42,0,5,19
48,0,-42.56,0.9935,1,0.0016,0.06,wall_collision,,,43,0,5,19
49,0,-16.69,0.9934,1,0.0015,0.06,wall_collision,,,44,0,5,19
50,0,-32.56,0.993,1,0.068,0.06,wall_collision,,,45,0,5,19
51,0,-37.74,0.9924,1,0.0015,0.06,wall_collision,,,46,0,5,19
52,0,-32.44,0.992,1,0.1444,0.06,wall_collision,,,47,0,5,19
53,0,-33.95,0.9915,1,0.0014,0.06,wall_collision,,,48,0,5,19
