episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-45.62,1.0,0,0,0.0,wall_collision,,,1,0,0,0
2,1,-20.12,1.0,1,0,0.5,wall_collision,,,2,0,0,0
3,0,-54.31,1.0,1,0,0.33,wall_collision,,,3,0,0,0
4,0,-34.48,1.0,1,0,0.25,wall_collision,,,4,0,0,1
5,0,-61.2,1.0,1,0,0.2,no_food_timeout,,,4,0,1,1
6,0,-31.54,1.0,1,0,0.17,wall_collision,,,5,0,1,1
7,0,-21.34,1.0,1,0,0.14,wall_collision,,,6,0,1,1
8,0,-61.04,0.9999,1,0.0729,0.12,no_food_timeout,,,6,0,2,1
9,0,-45.33,0.9992,1,0.0006,0.11,wall_collision,,,7,0,2,1
10,0,-27.46,0.9989,1,0.2169,0.1,wall_collision,,,8,0,2,1
11,0,-22.52,0.9986,1,0.1404,0.09,wall_collision,,,9,0,2,1
12,0,-31.7,0.9982,1,0.2153,0.08,wall_collision,,,10,0,2,1
13,0,-18.08,0.998,1,0.353,0.08,wall_collision,,,11,0,2,1
14,0,-42.35,0.9974,1,0.2091,0.07,wall_collision,,,12,0,2,1
15,0,-17.87,0.9973,1,0.2094,0.07,wall_collision,,,13,0,2,1
16,0,-26.4,0.9969,1,0.0738,0.06,wall_collision,,,14,0,2,1
17,0,-31.05,0.9965,1,0.1254,0.06,wall_collision,,,15,0,2,1
18,0,-24.24,0.9962,1,0.1023,0.06,wall_collision,,,16,0,2,1
19,0,-36.72,0.9957,1,0.0801,0.05,wall_collision,,,17,0,2,1
20,0,-28.44,0.9954,1,0.0986,0.05,wall_collision,,,18,0,2,1
21,0,-47.81,0.9947,1,0.0479,0.05,wall_collision,,,19,0,2,3
22,0,-34.64,0.9942,1,0.0762,0.05,wall_collision,,,20,0,2,3
23,0,-19.22,0.994,1,0.1174,0.04,wall_collision,,,21,0,2,3
24,0,-31.79,0.9936,1,0.0887,0.04,wall_collision,,,22,0,2,3
25,0,-33.37,0.9931,1,0.0932,0.04,wall_collision,0.1,1,23,0,2,4
26,0,-53.56,0.9923,1,0.0692,0.04,wall_collision,,,24,0,2,6
27,0,-61.08,0.9913,1,0.0358,0.04,no_food_timeout,,,24,0,3,6
28,0,-60.8,0.9904,1,0.0319,0.04,no_food_timeout,,,24,0,4,6
29,1,-54.43,0.9893,1,0.0127,0.07,wall_collision,,,25,0,4,8
30,0,-35.54,0.9888,1,0.0178,0.07,wall_collision,,,26,0,4,8
31,0,-34.56,0.9884,1,0.0515,0.06,wall_collision,,,27,0,4,8
32,0,-61.32,0.9874,1,0.1258,0.06,no_food_timeout,,,27,0,5,9
33,0,-47.82,0.9867,1,0.0128,0.06,wall_collision,,,28,0,5,9
34,1,-31.13,0.9861,1,0.0515,0.09,wall_collision,,,29,0,5,10
35,0,-31.62,0.9856,1,0.0086,0.09,wall_collision,,,30,0,5,10
36,0,-24.97,0.9854,1,0.2635,0.08,wall_collision,,,31,0,5,10
37,0,-19.3,0.9852,1,0.1283,0.08,wall_collision,,,32,0,5,10
38,0,-42.8,0.9845,1,0.0342,0.08,wall_collision,,,33,0,5,10
39,0,-44.43,0.9839,1,0.0419,0.08,wall_collision,,,34,0,5,10
40,0,-30.28,0.9835,1,0.0778,0.08,wall_collision,,,35,0,5,10
41,0,-36.93,0.983,1,0.0208,0.07,wall_collision,,,36,0,5,10
42,0,-21.42,0.9827,1,0.1001,0.07,wall_collision,,,37,0,5,10
43,1,-34.41,0.9821,1,0.0296,0.09,wall_collision,,,38,0,5,10
44,0,-25.18,0.9818,1,0.0284,0.09,wall_collision,,,39,0,5,10
45,0,-61.4,0.9808,1,0.1018,0.09,no_food_timeout,,,39,0,6,12
46,0,-45.41,0.9801,1,0.1249,0.09,wall_collision,,,40,0,6,12
47,0,-58.27,0.9792,1,0.0929,0.09,wall_collision,,,41,0,6,12
48,0,-36.84,0.9787,1,0.057,0.08,wall_collision,,,42,0,6,12
49,0,-19.34,0.9785,1,0.1308,0.08,wall_collision,,,43,0,6,12
50,0,-23.95,0.9782,1,0.0433,0.08,wall_collision,0.0,0,44,0,6,12
