episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-61.0,1.0,0,0,0.0,no_food_timeout,,,0,0,1,0
2,0,-42.92,1.0,0,0,0.0,wall_collision,,,1,0,1,0
3,0,-61.52,1.0,0,0,0.0,no_food_timeout,,,1,0,2,2
4,0,-40.59,1.0,0,0,0.0,wall_collision,,,2,0,2,3
5,0,-36.44,1.0,0,0,0.0,wall_collision,,,3,0,2,3
6,0,-61.28,1.0,0,0,0.0,no_food_timeout,,,3,0,3,4
7,0,-22.36,1.0,0,0,0.0,wall_collision,,,4,0,3,4
8,0,-29.99,1.0,0,0,0.0,wall_collision,,,5,0,3,4
9,0,-60.92,1.0,0,0,0.0,no_food_timeout,,,5,0,4,4
10,0,-27.83,1.0,0,0,0.0,wall_collision,,,6,0,4,4
11,0,-20.89,1.0,0,0,0.0,wall_collision,,,7,0,4,4
12,0,-53.65,1.0,0,0,0.0,wall_collision,,,8,0,4,4
13,0,-52.72,1.0,0,0,0.0,wall_collision,,,9,0,4,4
14,0,-61.72,1.0,0,0,0.0,no_food_timeout,,,9,0,5,7
15,0,-33.01,1.0,0,0,0.0,wall_collision,,,10,0,5,7
16,0,-39.94,1.0,0,0,0.0,wall_collision,,,11,0,5,8
17,0,-41.33,1.0,0,0,0.0,wall_collision,,,12,0,5,8
18,0,-42.43,1.0,0,0,0.0,wall_collision,,,13,0,5,8
19,0,-45.97,1.0,0,0,0.0,wall_collision,,,14,0,5,12
20,0,-43.29,1.0,0,0,0.0,wall_collision,,,15,0,5,12
21,1,-14.0,1.0,1,0,0.05,wall_collision,,,16,0,5,12
22,0,-24.93,1.0,1,0,0.05,wall_collision,,,17,0,5,12
23,0,-43.86,1.0,1,0,0.04,wall_collision,,,18,0,5,12
24,0,-26.36,1.0,1,0,0.04,wall_collision,,,19,0,5,12
25,0,-46.68,1.0,1,0,0.04,wall_collision,,,20,0,5,12
26,0,-61.68,1.0,1,0,0.04,no_food_timeout,,,20,0,6,15
27,0,-23.99,1.0,1,0,0.04,wall_collision,,,21,0,6,15
28,0,-60.96,1.0,1,0,0.04,no_food_timeout,,,21,0,7,15
29,0,-35.21,1.0,1,0,0.03,wall_collision,,,22,0,7,15
30,0,-28.48,1.0,1,0,0.03,wall_collision,,,23,0,7,15
