episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-61.24,1.0,0,0,0.0,no_food_timeout,,,0,0,1,1
2,2,-45.51,1.0,2,0,1.0,no_food_timeout,,,0,0,2,1
3,0,-61.16,1.0,2,0,0.67,no_food_timeout,,,0,0,3,2
4,0,-61.52,1.0,2,0,0.5,no_food_timeout,,,0,0,4,4
5,0,-61.04,1.0,2,0,0.4,no_food_timeout,,,0,0,5,4
6,1,-77.48,1.0,2,0,0.5,no_food_timeout,,,0,0,6,6
7,0,-61.24,1.0,2,0,0.43,no_food_timeout,,,0,0,7,7
8,0,-61.08,1.0,2,0,0.38,no_food_timeout,,,0,0,8,7
9,0,-61.0,1.0,2,0,0.33,no_food_timeout,,,0,0,9,7
10,1,-60.68,1.0,2,0,0.4,no_food_timeout,,,0,0,10,8
11,0,-61.08,1.0,2,0,0.36,no_food_timeout,,,0,0,11,8
12,0,-61.04,1.0,2,0,0.33,no_food_timeout,,,0,0,12,8
13,0,-61.2,1.0,2,0,0.31,no_food_timeout,,,0,0,13,8
14,0,-60.96,1.0,2,0,0.29,no_food_timeout,,,0,0,14,8
15,0,-61.08,1.0,2,0,0.27,no_food_timeout,,,0,0,15,8
16,0,-61.0,1.0,2,0,0.25,no_food_timeout,,,0,0,16,8
17,0,-61.4,1.0,2,0,0.24,no_food_timeout,,,0,0,17,9
18,0,-61.2,1.0,2,0,0.22,no_food_timeout,,,0,0,18,9
19,0,-62.36,1.0,2,0,0.21,no_food_timeout,,,0,0,19,15
20,1,-80.3,0.9987,2,0.2218,0.25,no_food_timeout,,,0,0,20,17
21,0,-61.44,0.9977,2,0.0736,0.24,no_food_timeout,,,0,0,21,18
22,1,-71.73,0.9964,2,0.0745,0.27,no_food_timeout,,,0,0,22,19
23,0,-61.08,0.9954,2,0.0745,0.26,no_food_timeout,,,0,0,23,19
24,1,-84.14,0.9938,2,0.1412,0.29,no_food_timeout,,,0,0,24,20
25,0,-60.88,0.9928,2,0.0723,0.28,no_food_timeout,,,0,0,25,20
26,0,-61.44,0.9919,2,0.2817,0.27,no_food_timeout,,,0,0,26,22
27,1,-102.93,0.9899,2,0.0673,0.3,no_food_timeout,,,0,0,27,28
28,0,-60.96,0.9889,2,0.0051,0.29,no_food_timeout,,,0,0,28,28
29,0,-61.68,0.988,2,0.0737,0.28,no_food_timeout,,,0,0,29,31
30,0,-61.12,0.987,2,0.069,0.27,no_food_timeout,,,0,0,30,31
31,0,-61.48,0.986,2,0.0659,0.26,no_food_timeout,,,0,0,31,32
32,1,-63.89,0.9848,2,0.2657,0.28,no_food_timeout,,,0,0,32,35
33,1,-63.81,0.9836,2,0.1334,0.3,no_food_timeout,,,0,0,33,38
34,1,-68.51,0.9823,2,0.1845,0.32,no_food_timeout,,,0,0,34,38
35,1,-81.12,0.9808,2,0.2015,0.34,no_food_timeout,,,0,0,35,38
36,0,-60.88,0.9798,2,0.1711,0.33,no_food_timeout,,,0,0,36,38
37,1,-79.78,0.9783,2,0.067,0.35,no_food_timeout,,,0,0,37,38
38,0,-62.84,0.9773,2,0.0041,0.34,no_food_timeout,,,0,0,38,47
39,0,-61.0,0.9764,2,0.0032,0.33,no_food_timeout,,,0,0,39,47
40,0,-61.8,0.9754,2,0.0049,0.32,no_food_timeout,,,0,0,40,51
41,0,-62.08,0.9744,2,0.0593,0.32,no_food_timeout,,,0,0,41,56
42,0,-60.8,0.9734,2,0.0123,0.31,no_food_timeout,,,0,0,42,56
43,1,-60.44,0.9723,2,0.2695,0.33,no_food_timeout,,,0,0,43,56
44,0,-61.2,0.9713,2,0.0608,0.32,no_food_timeout,,,0,0,44,56
45,1,-90.78,0.9696,2,0.0174,0.33,no_food_timeout,,,0,0,45,60
46,0,-61.28,0.9686,2,0.0609,0.33,no_food_timeout,,,0,0,46,61
47,0,-60.96,0.9677,2,0.0743,0.32,no_food_timeout,,,0,0,47,61
48,0,-61.16,0.9667,2,0.1438,0.31,no_food_timeout,,,0,0,48,61
49,0,-60.96,0.9657,2,0.0204,0.31,no_food_timeout,,,0,0,49,62
50,0,-61.8,0.9648,2,0.1399,0.3,no_food_timeout,,,0,0,50,65
1,0,-61.52,1.0,0,0,0.0,no_food_timeout,,,0,0,1,4
2,0,-61.2,1.0,0,0,0.0,no_food_timeout,,,0,0,2,4
3,0,-60.88,1.0,0,0,0.0,no_food_timeout,,,0,0,3,4
4,0,-61.16,1.0,0,0,0.0,no_food_timeout,,,0,0,4,6
5,0,-60.92,1.0,0,0,0.0,no_food_timeout,,,0,0,5,6
6,0,-61.44,1.0,0,0,0.0,no_food_timeout,,,0,0,6,7
7,0,-61.0,1.0,0,0,0.0,no_food_timeout,,,0,0,7,7
8,0,-61.2,1.0,0,0,0.0,no_food_timeout,,,0,0,8,8
9,0,-61.16,1.0,0,0,0.0,no_food_timeout,,,0,0,9,8
10,0,-61.6,1.0,0,0,0.0,no_food_timeout,,,0,0,10,11
11,0,-61.24,1.0,0,0,0.0,no_food_timeout,,,0,0,11,12
12,0,-61.24,1.0,0,0,0.0,no_food_timeout,,,0,0,12,13
13,0,-61.28,1.0,0,0,0.0,no_food_timeout,,,0,0,13,15
14,0,-61.04,1.0,0,0,0.0,no_food_timeout,,,0,0,14,15
15,0,-61.28,1.0,0,0,0.0,no_food_timeout,,,0,0,15,16
16,0,-61.16,1.0,0,0,0.0,no_food_timeout,,,0,0,16,16
17,0,-61.16,1.0,0,0,0.0,no_food_timeout,,,0,0,17,16
18,0,-61.2,1.0,0,0,0.0,no_food_timeout,,,0,0,18,16
19,0,-61.04,1.0,0,0,0.0,no_food_timeout,,,0,0,19,16
20,0,-61.16,1.0,0,0,0.0,no_food_timeout,,,0,0,20,17
21,0,-61.96,0.999,0,0.3741,0.0,no_food_timeout,,,0,0,21,21
22,0,-61.76,0.9981,0,0.4198,0.0,no_food_timeout,,,0,0,22,25
