episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-51.82,1.0,0,0,0.0,wall_collision,,,1,0,0,0
2,0,-34.76,1.0,0,0,0.0,wall_collision,,,2,0,0,0
3,0,-61.4,1.0,0,0,0.0,no_food_timeout,,,2,0,1,1
4,0,-61.0,1.0,0,0,0.0,no_food_timeout,,,2,0,2,1
5,0,-61.04,1.0,0,0,0.0,no_food_timeout,,,2,0,3,2
6,0,-61.2,1.0,0,0,0.0,no_food_timeout,,,2,0,4,3
7,0,-49.0,1.0,0,0,0.0,wall_collision,,,3,0,4,3
8,0,-61.0,1.0,0,0,0.0,no_food_timeout,,,3,0,5,3
9,0,-55.16,1.0,0,0,0.0,wall_collision,,,4,0,5,4
10,1,-43.04,1.0,1,0,0.1,wall_collision,,,5,0,5,9
11,0,-24.24,1.0,1,0,0.09,wall_collision,,,6,0,5,9
12,0,-61.32,1.0,1,0,0.08,no_food_timeout,,,6,0,6,10
13,0,-20.32,1.0,1,0,0.08,wall_collision,,,7,0,6,10
14,0,-32.72,1.0,1,0,0.07,wall_collision,,,8,0,6,10
15,0,-26.24,1.0,1,0,0.07,wall_collision,,,9,0,6,10
16,0,-31.7,1.0,1,0,0.06,wall_collision,,,10,0,6,10
17,0,-18.48,1.0,1,0,0.06,wall_collision,,,11,0,6,10
18,0,-41.86,1.0,1,0,0.06,wall_collision,,,12,0,6,11
19,0,-53.57,1.0,1,0,0.05,wall_collision,,,13,0,6,11
20,0,-59.37,1.0,1,0,0.05,wall_collision,,,14,0,6,11
21,0,-36.23,1.0,1,0,0.05,wall_collision,,,15,0,6,11
22,0,-52.59,1.0,1,0,0.05,wall_collision,,,16,0,6,11
23,0,-31.66,1.0,1,0,0.04,wall_collision,,,17,0,6,11
24,0,-62.4,1.0,1,0,0.04,no_food_timeout,,,17,0,7,19
25,0,-35.62,1.0,1,0,0.04,wall_collision,,,18,0,7,19
26,0,-47.6,1.0,1,0,0.04,wall_collision,,,19,0,7,23
27,0,-58.99,1.0,1,0,0.04,wall_collision,,,20,0,7,26
28,0,-56.95,0.9999,1,0.0766,0.04,wall_collision,,,21,0,7,29
29,0,-23.95,0.9997,1,0.0704,0.03,wall_collision,,,22,0,7,29
30,0,-61.4,0.9987,1,0.0596,0.03,no_food_timeout,,,22,0,8,30
31,0,-48.26,0.9979,1,0.0114,0.03,wall_collision,,,23,0,8,31
32,0,-51.12,0.9971,1,0.0751,0.03,wall_collision,,,24,0,8,32
33,0,-21.83,0.9969,1,0.1384,0.03,wall_collision,,,25,0,8,32
34,0,-41.29,0.9963,1,0.0741,0.03,wall_collision,,,26,0,8,32
35,0,-42.96,0.9956,1,0.0742,0.03,wall_collision,,,27,0,8,32
36,0,-61.96,0.9946,1,0.0178,0.03,no_food_timeout,,,27,0,9,36
37,0,-25.05,0.9943,1,0.0087,0.03,wall_collision,,,28,0,9,36
38,0,-61.4,0.9933,1,0.0871,0.03,no_food_timeout,,,28,0,10,38
39,2,-23.2,0.9927,2,0.0066,0.08,self_collision,,,28,1,10,38
40,0,-35.62,0.9922,2,0.0731,0.08,wall_collision,,,29,1,10,38
41,0,-33.13,0.9917,2,0.0021,0.07,wall_collision,,,30,1,10,38
42,0,-55.44,0.9908,2,0.0028,0.07,wall_collision,,,31,1,10,39
