episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-55.47,1.0,0,0,0.0,wall_collision,,,1,0,0,4
2,0,-43.08,1.0,0,0,0.0,wall_collision,,,2,0,0,5
3,0,-62.28,1.0,0,0,0.0,no_food_timeout,,,2,0,1,11
4,0,-19.47,1.0,0,0,0.0,wall_collision,,,3,0,1,11
5,0,-61.72,1.0,0,0,0.0,no_food_timeout,,,3,0,2,14
6,1,-41.95,1.0,1,0,0.17,wall_collision,,,4,0,2,14
7,0,-35.29,1.0,1,0,0.14,wall_collision,,,5,0,2,14
8,0,-30.11,1.0,1,0,0.12,wall_collision,,,6,0,2,14
9,0,-42.92,1.0,1,0,0.11,wall_collision,,,7,0,2,15
10,0,-39.05,1.0,1,0,0.1,wall_collision,,,8,0,2,15
11,0,-36.44,1.0,1,0,0.09,wall_collision,,,9,0,2,15
12,0,-27.13,1.0,1,0,0.08,wall_collision,,,10,0,2,15
13,0,-29.46,1.0,1,0,0.08,wall_collision,,,11,0,2,15
14,0,-61.44,1.0,1,0,0.07,no_food_timeout,,,11,0,3,17
15,0,-60.96,1.0,1,0,0.07,no_food_timeout,,,11,0,4,17
16,0,-23.01,1.0,1,0,0.06,wall_collision,,,12,0,4,17
17,0,-61.32,1.0,1,0,0.06,no_food_timeout,,,12,0,5,18
18,0,-44.31,1.0,1,0,0.06,wall_collision,,,13,0,5,18
19,0,-33.17,1.0,1,0,0.05,wall_collision,,,14,0,5,18
20,0,-45.21,1.0,1,0,0.05,wall_collision,,,15,0,5,18
21,1,-51.58,1.0,1,0,0.1,no_food_timeout,,,15,0,6,18
22,0,-38.68,1.0,1,0,0.09,wall_collision,,,16,0,6,18
23,0,-44.02,1.0,1,0,0.09,wall_collision,,,17,0,6,18
24,0,-27.5,1.0,1,0,0.08,wall_collision,,,18,0,6,18
25,0,-45.41,1.0,1,0,0.08,wall_collision,,,19,0,6,18
26,1,-23.64,1.0,1,0,0.12,wall_collision,,,20,0,6,18
27,0,-27.95,1.0,1,0,0.11,wall_collision,,,21,0,6,18
28,0,-53.33,1.0,1,0,0.11,wall_collision,,,22,0,6,18
29,0,-61.24,1.0,1,0,0.1,no_food_timeout,,,22,0,7,18
30,0,-24.08,1.0,1,0,0.1,wall_collision,,,23,0,7,18
31,0,-39.66,1.0,1,0,0.1,wall_collision,,,24,0,7,18
32,0,-43.13,0.9994,1,0.4594,0.09,wall_collision,,,25,0,7,18
33,0,-21.91,0.9992,1,0.4008,0.09,wall_collision,,,26,0,7,18
34,1,-58.51,0.9981,1,0.2022,0.12,no_food_timeout,,,26,0,8,19
35,0,-37.74,0.9976,1,0.0321,0.11,wall_collision,,,27,0,8,19
36,0,-42.92,0.9969,1,0.1548,0.11,wall_collision,,,28,0,8,20
37,0,-24.4,0.9967,1,0.0742,0.11,wall_collision,,,29,0,8,20
38,0,-61.72,0.9957,1,0.2033,0.11,no_food_timeout,,,29,0,9,23
39,1,-36.57,0.995,1,0.3633,0.13,wall_collision,,,30,0,9,23
40,0,-60.96,0.994,1,0.2244,0.12,no_food_timeout,,,30,0,10,23
41,0,-46.39,0.9933,1,0.1009,0.12,wall_collision,,,31,0,10,23
42,0,-50.6,0.9925,1,0.0863,0.12,wall_collision,,,32,0,10,23
43,0,-58.31,0.9916,1,0.3164,0.12,wall_collision,,,33,0,10,23
44,0,-46.52,0.9909,1,0.2877,0.11,wall_collision,,,34,0,10,23
45,0,-26.97,0.9906,1,0.0111,0.11,wall_collision,,,35,0,10,23
46,0,-61.2,0.9896,1,0.051,0.11,no_food_timeout,,,35,0,11,23
47,0,-39.34,0.989,1,0.2387,0.11,wall_collision,,,36,0,11,23
48,0,-58.95,0.9881,1,0.0833,0.1,wall_collision,,,37,0,11,24
49,1,-19.15,0.9877,1,0.1429,0.12,wall_collision,,,38,0,11,24
50,0,-56.67,0.9868,1,0.1004,0.12,wall_collision,,,39,0,11,24
51,0,-21.91,0.9866,1,0.2151,0.12,wall_collision,,,40,0,11,24
52,0,-27.99,0.9862,1,0.1257,0.12,wall_collision,,,41,0,11,24
53,1,-49.37,0.9853,1,0.3126,0.14,wall_collision,,,42,0,11,27
54,0,-25.5,0.985,1,0.0602,0.14,wall_collision,,,43,0,11,27
55,0,-61.08,0.984,1,0.0889,0.14,no_food_timeout,,,43,0,12,27
56,0,-58.47,0.9831,1,0.0853,0.12,wall_collision,,,44,0,12,27
57,0,-29.5,0.9827,1,0.112,0.12,wall_collision,,,45,0,12,27
58,0,-23.87,0.9824,1,0.1898,0.12,wall_collision,,,46,0,12,27
59,0,-26.64,0.9821,1,0.0706,0.12,wall_collision,,,47,0,12,27
60,0,-61.28,0.9811,1,0.0408,0.12,no_food_timeout,,,47,0,13,27
61,0,-53.9,0.9803,1,0.0789,0.12,wall_collision,,,48,0,13,27
62,0,-61.16,0.9793,1,0.0095,0.12,no_food_timeout,,,48,0,14,28
63,0,-39.21,0.9788,1,0.1462,0.12,wall_collision,,,49,0,14,28
64,0,-32.6,0.9783,1,0.178,0.12,wall_collision,,,50,0,14,28
65,0,-40.56,0.9777,1,0.0837,0.12,wall_collision,,,51,0,14,28
66,0,-45.58,0.977,1,0.0311,0.12,wall_collision,,,52,0,14,28
67,0,-60.88,0.9761,1,0.1342,0.12,no_food_timeout,,,52,0,15,28
68,0,-29.05,0.9757,1,0.3977,0.12,wall_collision,,,53,0,15,28
69,0,-61.08,0.9747,1,0.1043,0.12,no_food_timeout,,,53,0,16,28
70,1,-10.25,0.9745,1,0.0176,0.14,wall_collision,,,54,0,16,28
71,0,-41.74,0.9739,1,0.0916,0.12,wall_collision,,,55,0,16,28
72,0,-31.13,0.9735,1,0.1764,0.12,wall_collision,,,56,0,16,28
73,0,-43.69,0.9729,1,0.0228,0.12,wall_collision,,,57,0,16,30
74,0,-61.32,0.9719,1,0.0139,0.12,no_food_timeout,,,57,0,17,31
75,0,-23.42,0.9716,1,0.0361,0.12,wall_collision,,,58,0,17,31
76,0,-32.28,0.9712,1,0.0269,0.1,wall_collision,,,59,0,17,31
77,0,-21.42,0.971,1,0.0113,0.1,wall_collision,,,60,0,17,31
78,1,-65.32,0.9698,1,0.0155,0.12,no_food_timeout,,,60,0,18,34
79,0,-53.98,0.9689,1,0.0849,0.12,wall_collision,,,61,0,18,34
80,0,-29.41,0.9685,1,0.0097,0.12,wall_collision,,,62,0,18,36
81,0,-41.7,0.9679,1,0.0126,0.12,wall_collision,,,63,0,18,36
82,0,-30.76,0.9675,1,0.0843,0.12,wall_collision,,,64,0,18,36
83,0,-37.17,0.967,1,0.0217,0.12,wall_collision,,,65,0,18,36
84,0,-32.48,0.9666,1,0.0105,0.1,wall_collision,,,66,0,18,36
85,0,-61.0,0.9656,1,0.1424,0.1,no_food_timeout,,,66,0,19,36
86,0,-61.52,0.9646,1,0.0228,0.1,no_food_timeout,,,66,0,20,39
87,0,-24.36,0.9644,1,0.027,0.1,wall_collision,,,67,0,20,39
88,0,-40.8,0.9638,1,0.0199,0.1,wall_collision,,,68,0,20,39
89,0,-28.11,0.9634,1,0.0392,0.08,wall_collision,,,69,0,20,39
90,0,-19.83,0.9632,1,0.0981,0.08,wall_collision,,,70,0,20,39
91,0,-48.88,0.9625,1,0.1004,0.08,wall_collision,,,71,0,20,39
92,1,-32.28,0.9618,1,0.0443,0.1,wall_collision,,,72,0,20,39
93,0,-21.75,0.9616,1,0.0779,0.1,wall_collision,,,73,0,20,39
94,1,-36.4,0.9609,1,0.1192,0.12,wall_collision,,,74,0,20,39
