episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-33.21,1.0,0,0,0.0,wall_collision,,,1,0,0,0
2,0,-61.08,1.0,0,0,0.0,no_food_timeout,,,1,0,1,0
3,0,-60.92,1.0,0,0,0.0,no_food_timeout,,,1,0,2,0
4,0,-51.94,1.0,0,0,0.0,wall_collision,,,2,0,2,1
5,0,-19.06,1.0,0,0,0.0,wall_collision,,,3,0,2,1
6,0,-23.46,1.0,0,0,0.0,wall_collision,,,4,0,2,1
7,0,-48.31,1.0,0,0,0.0,wall_collision,,,5,0,2,1
8,0,-61.04,1.0,0,0,0.0,no_food_timeout,,,5,0,3,1
9,0,-32.32,1.0,0,0,0.0,wall_collision,,,6,0,3,1
10,0,-17.51,1.0,0,0,0.0,wall_collision,,,7,0,3,1
11,0,-33.29,1.0,0,0,0.0,wall_collision,,,8,0,3,3
12,0,-29.05,1.0,0,0,0.0,wall_collision,,,9,0,3,3
13,0,-32.36,1.0,0,0,0.0,wall_collision,,,10,0,3,3
14,1,-33.35,1.0,1,0,0.07,wall_collision,,,11,0,3,3
15,1,-27.47,1.0,1,0,0.13,wall_collision,,,12,0,3,4
16,0,-51.53,1.0,1,0,0.12,wall_collision,,,13,0,3,4
17,0,-21.46,1.0,1,0,0.12,wall_collision,,,14,0,3,4
18,0,-27.75,1.0,1,0,0.11,wall_collision,,,15,0,3,4
19,0,-23.34,1.0,1,0,0.11,wall_collision,,,16,0,3,4
20,0,-61.4,1.0,1,0,0.1,no_food_timeout,,,16,0,4,6
21,0,-24.48,1.0,1,0,0.1,wall_collision,,,17,0,4,6
22,1,-27.63,1.0,1,0,0.14,wall_collision,,,18,0,4,6
23,0,-61.16,1.0,1,0,0.13,no_food_timeout,,,18,0,5,6
24,0,-52.38,1.0,1,0,0.12,wall_collision,,,19,0,5,8
25,0,-39.91,1.0,1,0,0.12,wall_collision,,,20,0,5,8
26,0,-44.76,1.0,1,0,0.12,wall_collision,,,21,0,5,8
27,0,-35.58,1.0,1,0,0.11,wall_collision,,,22,0,5,8
28,0,-42.27,1.0,1,0,0.11,wall_collision,,,23,0,5,8
29,0,-23.46,1.0,1,0,0.1,wall_collision,,,24,0,5,8
30,0,-17.87,1.0,1,0,0.1,wall_collision,,,25,0,5,8
31,0,-61.32,1.0,1,0,0.1,no_food_timeout,,,25,0,6,9
32,0,-61.16,1.0,1,0,0.09,no_food_timeout,,,25,0,7,10
33,0,-34.19,1.0,1,0,0.09,wall_collision,,,26,0,7,10
34,1,-31.87,1.0,1,0,0.12,wall_collision,,,27,0,7,10
35,0,-23.09,0.9998,1,0.1612,0.11,wall_collision,,,28,0,7,10
36,1,-38.61,0.999,1,0.223,0.14,wall_collision,,,29,0,7,10
37,0,-61.8,0.9981,1,0.1122,0.14,no_food_timeout,,,29,0,8,14
38,0,-30.03,0.9977,1,0.0991,0.13,wall_collision,,,30,0,8,14
39,0,-30.36,0.9973,1,0.0968,0.13,wall_collision,,,31,0,8,14
40,0,-41.78,0.9967,1,0.0567,0.12,wall_collision,,,32,0,8,14
41,0,-36.68,0.9962,1,0.0934,0.12,wall_collision,,,33,0,8,14
42,0,-45.58,0.9955,1,0.0979,0.12,wall_collision,,,34,0,8,14
43,0,-20.97,0.9953,1,0.0978,0.12,wall_collision,,,35,0,8,14
44,0,-29.7,0.9949,1,0.0909,0.11,wall_collision,,,36,0,8,15
45,0,-20.36,0.9947,1,0.0604,0.11,wall_collision,,,37,0,8,15
46,0,-51.82,0.9939,1,0.074,0.11,wall_collision,,,38,0,8,15
47,0,-41.86,0.9933,1,0.0779,0.11,wall_collision,,,39,0,8,15
48,0,-43.78,0.9926,1,0.0888,0.1,wall_collision,,,40,0,8,15
49,0,-28.6,0.9923,1,0.0672,0.1,wall_collision,,,41,0,8,15
50,0,-31.83,0.9918,1,0.0787,0.1,wall_collision,,,42,0,8,15
51,0,-43.37,0.9912,1,0.0561,0.1,wall_collision,,,43,0,8,16
52,1,-36.57,0.9905,1,0.0408,0.12,wall_collision,,,44,0,8,16
53,0,-61.2,0.9895,1,0.0881,0.12,no_food_timeout,,,44,0,9,17
54,0,-42.02,0.9889,1,0.0646,0.12,wall_collision,,,45,0,9,18
55,0,-61.16,0.9879,1,0.0912,0.12,no_food_timeout,,,45,0,10,18
56,0,-38.48,0.9874,1,0.0969,0.12,wall_collision,,,46,0,10,18
57,1,-25.51,0.9869,1,0.1188,0.14,wall_collision,,,47,0,10,18
58,0,-28.56,0.9865,1,0.0641,0.14,wall_collision,,,48,0,10,18
59,0,-34.48,0.9861,1,0.1177,0.14,wall_collision,,,49,0,10,18
60,0,-37.7,0.9855,1,0.0506,0.14,wall_collision,,,50,0,10,18
61,0,-27.05,0.9852,1,0.0502,0.14,wall_collision,,,51,0,10,18
62,0,-42.31,0.9846,1,0.0389,0.14,wall_collision,,,52,0,10,18
63,0,-41.78,0.984,1,0.0821,0.14,wall_collision,,,53,0,10,18
64,0,-61.36,0.983,1,0.0383,0.12,no_food_timeout,,,53,0,11,19
65,0,-37.25,0.9825,1,0.0609,0.1,wall_collision,,,54,0,11,19
66,0,-37.82,0.9819,1,0.0688,0.1,wall_collision,,,55,0,11,19
67,0,-37.33,0.9814,1,0.0192,0.1,wall_collision,,,56,0,11,19
68,0,-24.44,0.9811,1,0.0457,0.1,wall_collision,,,57,0,11,19
69,0,-60.92,0.9802,1,0.1192,0.1,no_food_timeout,,,57,0,12,19
70,0,-49.41,0.9794,1,0.0597,0.1,wall_collision,,,58,0,12,19
71,0,-23.5,0.9791,1,0.0821,0.1,wall_collision,,,59,0,12,19
72,0,-18.24,0.979,1,0.0287,0.08,wall_collision,,,60,0,12,19
73,0,-29.09,0.9786,1,0.0331,0.08,wall_collision,,,61,0,12,19
74,0,-31.82,0.9782,1,0.0604,0.08,wall_collision,,,62,0,12,20
75,0,-36.76,0.9777,1,0.0322,0.08,wall_collision,,,63,0,12,20
76,0,-62.16,0.9767,1,0.0614,0.08,no_food_timeout,,,63,0,13,25
77,0,-15.75,0.9766,1,0.0805,0.08,wall_collision,,,64,0,13,25
78,0,-17.26,0.9764,1,0.0531,0.08,wall_collision,,,65,0,13,25
79,0,-61.0,0.9755,1,0.046,0.08,no_food_timeout,,,65,0,14,25
80,0,-61.2,0.9745,1,0.1014,0.08,no_food_timeout,,,65,0,15,25
81,0,-30.07,0.9741,1,0.0958,0.08,wall_collision,,,66,0,15,25
82,0,-23.09,0.9739,1,0.0594,0.08,wall_collision,,,67,0,15,25
83,0,-61.08,0.9729,1,0.0688,0.08,no_food_timeout,,,67,0,16,25
84,0,-31.13,0.9725,1,0.0867,0.06,wall_collision,,,68,0,16,26
85,0,-59.29,0.9715,1,0.029,0.06,wall_collision,,,69,0,16,26
86,0,-33.62,0.9711,1,0.0573,0.04,wall_collision,,,70,0,16,26
87,0,-57.53,0.9702,1,0.052,0.04,wall_collision,,,71,0,16,26
88,0,-25.05,0.9699,1,0.0248,0.04,wall_collision,,,72,0,16,26
89,0,-61.08,0.9689,1,0.0323,0.04,no_food_timeout,,,72,0,17,26
90,0,-24.4,0.9686,1,0.0582,0.04,wall_collision,,,73,0,17,26
91,0,-61.04,0.9677,1,0.0347,0.04,no_food_timeout,,,73,0,18,26
92,0,-61.36,0.9667,1,0.0645,0.04,no_food_timeout,,,73,0,19,27
93,0,-53.04,0.9659,1,0.0664,0.04,wall_collision,,,74,0,19,27
94,0,-32.77,0.9654,1,0.0588,0.04,wall_collision,,,75,0,19,27
95,0,-26.93,0.9651,1,0.0547,0.04,wall_collision,,,76,0,19,27
96,0,-61.12,0.9641,1,0.0643,0.04,no_food_timeout,,,76,0,20,27
97,0,-25.63,0.9638,1,0.0309,0.04,wall_collision,,,77,0,20,27
98,0,-19.38,0.9636,1,0.0775,0.04,wall_collision,,,78,0,20,27
99,0,-60.42,0.9627,1,0.0606,0.04,wall_collision,,,79,0,20,29
100,0,-22.97,0.9624,1,0.032,0.04,wall_collision,16.0,37,80,0,20,29
101,0,-48.27,0.9617,1,0.0312,0.04,wall_collision,,,81,0,20,29
102,0,-33.86,0.9612,1,0.0255,0.02,wall_collision,,,82,0,20,30
103,0,-61.08,0.9602,1,0.0527,0.02,no_food_timeout,,,82,0,21,31
104,0,-31.34,0.9598,1,0.0943,0.02,wall_collision,,,83,0,21,31
105,0,-61.08,0.9589,1,0.0585,0.02,no_food_timeout,,,83,0,22,31
106,1,-29.3,0.9583,1,0.052,0.04,wall_collision,,,84,0,22,31
107,1,-24.7,0.9578,1,0.0273,0.04,wall_collision,,,85,0,22,31
108,0,-47.57,0.9571,1,0.0327,0.04,wall_collision,,,86,0,22,32
109,0,-45.09,0.9564,1,0.0412,0.04,wall_collision,,,87,0,22,32
110,1,-29.6,0.9558,1,0.0285,0.06,wall_collision,,,88,0,22,32
111,0,-18.77,0.9557,1,0.046,0.06,wall_collision,,,89,0,22,32
112,0,-43.78,0.955,1,0.0294,0.06,wall_collision,,,90,0,22,32
113,0,-61.2,0.954,1,0.0176,0.06,no_food_timeout,,,90,0,23,32
114,2,-48.27,0.9529,2,0.0621,0.1,self_collision,,,90,1,23,36
115,0,-17.55,0.9528,2,0.0173,0.1,wall_collision,,,91,1,23,36
116,0,-19.95,0.9526,2,0.0499,0.1,wall_collision,,,92,1,23,36
117,0,-47.04,0.9519,2,0.0499,0.1,wall_collision,,,93,1,23,36
118,0,-41.41,0.9513,2,0.0398,0.1,wall_collision,,,94,1,23,36
119,0,-61.24,0.9503,2,0.0523,0.1,no_food_timeout,,,94,1,24,37
120,0,-29.95,0.9499,2,0.0421,0.1,wall_collision,,,95,1,24,37
121,0,-61.08,0.9489,2,0.0454,0.1,no_food_timeout,,,95,1,25,37
122,0,-26.6,0.9486,2,0.035,0.1,wall_collision,,,96,1,25,37
123,0,-32.07,0.9482,2,0.038,0.1,wall_collision,,,97,1,25,37
124,0,-23.54,0.9479,2,0.0448,0.1,wall_collision,,,98,1,25,37
125,0,-61.4,0.947,2,0.03,0.1,no_food_timeout,,,98,1,26,40
126,0,-26.68,0.9466,2,0.0823,0.1,wall_collision,,,99,1,26,40
127,0,-44.92,0.946,2,0.0463,0.1,wall_collision,,,100,1,26,40
128,0,-23.42,0.9457,2,0.0331,0.1,wall_collision,,,101,1,26,40
129,0,-27.54,0.9454,2,0.0271,0.1,wall_collision,,,102,1,26,40
130,0,-21.06,0.9451,2,0.0446,0.1,wall_collision,,,103,1,26,40
131,0,-30.64,0.9447,2,0.0367,0.1,wall_collision,,,104,1,26,40
132,0,-43.29,0.9441,2,0.0501,0.1,wall_collision,,,105,1,26,40
133,1,-51.5,0.9431,2,0.0506,0.12,no_food_timeout,,,105,1,27,40
134,0,-22.32,0.9429,2,0.0392,0.12,wall_collision,,,106,1,27,40
135,0,-39.82,0.9423,2,0.0487,0.12,wall_collision,,,107,1,27,41
136,0,-40.11,0.9417,2,0.064,0.12,wall_collision,,,108,1,27,41
137,0,-38.68,0.9412,2,0.0283,0.12,wall_collision,,,109,1,27,41
138,0,-38.44,0.9406,2,0.0565,0.12,wall_collision,,,110,1,27,41
139,0,-61.04,0.9397,2,0.0779,0.12,no_food_timeout,,,110,1,28,41
140,0,-51.08,0.9389,2,0.0408,0.12,wall_collision,,,111,1,28,41
141,0,-60.92,0.9379,2,0.012,0.12,no_food_timeout,,,111,1,29,41
142,0,-27.83,0.9376,2,0.0498,0.12,wall_collision,,,112,1,29,41
143,0,-50.92,0.9368,2,0.0592,0.12,wall_collision,,,113,1,29,42
144,1,-55.94,0.9357,2,0.0474,0.14,no_food_timeout,,,113,1,30,45
145,0,-28.24,0.9353,2,0.0343,0.14,wall_collision,,,114,1,30,45
146,0,-18.08,0.9352,2,0.0665,0.14,wall_collision,,,115,1,30,45
147,1,-20.21,0.9348,2,0.0728,0.16,wall_collision,,,116,1,30,45
148,0,-33.83,0.9343,2,0.0584,0.16,wall_collision,,,117,1,30,45
