timesteps,episodes,avg_episode_length,recent_avg_score,recent_avg_reward
20001,100,75.0,0.0,-44.32
25001,500100,65.4,0.0,-39.44
30001,1000100,72.1,0.0,-42.36
35001,1500100,69.2,0.0,-40.52
40001,2000100,66.6,0.0,-39.38
45001,2500100,51.2,0.0,-31.69
50001,3000100,43.4,0.0,-29.17
55001,3500100,41.2,0.0,-27.75
60001,4000100,42.6,0.0,-28.66
65001,4500100,34.8,0.0,-24.45
70001,5000100,31.3,0.0,-22.88
75001,5500100,34.4,0.0,-24.24
80001,6000100,30.2,0.0,-21.28
85001,6500100,26.8,0.0,-19.56
90001,7000100,31.6,0.0,-21.53
95001,7500100,28.3,0.0,-20.49
100001,8000100,23.9,0.0,-18.38
105001,8500100,27.3,0.0,-18.98
110001,9000100,27.3,0.0,-18.28
115001,9500100,26.8,0.0,-18.18
120001,10000100,28.2,0.0,-18.69
125001,10500100,29.3,0.0,-18.2
130001,11000100,30.1,0.0,-18.83
135001,11500100,30.7,0.0,-18.09
140001,12000100,28.0,0.0,-16.51
145001,12500100,28.4,0.0,-15.7
150001,13000100,27.6,0.0,-15.51
155001,13500100,27.2,0.0,-14.88
160001,14000100,27.6,0.0,-14.63
165001,14500100,28.4,0.0,-14.51
170001,15000100,27.7,0.0,-13.63
175001,15500100,27.0,0.0,-12.88
180001,16000100,26.3,0.0,-12.1
185001,16500100,25.6,0.0,-12.05
190001,17000100,24.2,0.0,-11.44
195001,17500100,24.0,0.0,-11.63
200001,18000100,23.4,0.0,-11.22
205001,18500100,22.7,0.0,-10.79
210001,19000100,21.0,0.0,-10.01
215001,19500100,21.0,0.0,-9.89
220001,20000100,20.1,0.0,-9.58
225001,20500100,20.4,0.0,-9.7
230001,21000100,19.8,0.0,-9.41
235001,21500100,21.0,0.0,-9.72
240001,22000100,19.2,0.0,-9.09
245001,22500100,19.1,0.0,-9.03
250001,23000100,18.3,0.0,-8.65
255001,23500100,18.0,0.0,-8.46
260001,24000100,18.1,0.0,-8.52
265001,24500100,17.5,0.0,-8.21
270001,25000100,17.5,0.0,-8.21
275001,25500100,17.1,0.0,-8.04
280001,26000100,17.8,0.0,-8.4
285001,26500100,17.7,0.0,-8.32
290001,27000100,17.5,0.0,-8.25
295001,27500100,17.8,0.0,-8.37
300001,28000100,18.0,0.0,-8.48
305001,28500100,17.5,0.0,-8.24
310001,29000100,17.6,0.0,-8.26
315001,29500100,17.4,0.0,-8.19
320001,30000100,17.7,0.0,-8.31
325001,30500100,17.3,0.0,-8.12
330001,31000100,17.7,0.0,-8.33
335001,31500100,17.8,0.0,-8.39
340001,32000100,18.1,0.0,-8.53
345001,32500100,17.8,0.0,-8.39
350001,33000100,17.6,0.0,-8.29
355001,33500100,17.7,0.0,-8.33
360001,34000100,17.4,0.0,-8.16
365001,34500100,18.7,0.0,-8.81
370001,35000100,17.5,0.0,-8.25
375001,35500100,17.7,0.0,-8.34
380001,36000100,17.4,0.0,-8.18
385001,36500100,17.8,0.0,-8.39
390001,37000100,18.2,0.0,-8.58
395001,37500100,17.7,0.0,-8.32
400001,38000100,17.8,0.0,-8.4
405001,38500100,18.8,0.0,-8.86
410001,39000100,18.0,0.0,-8.48
415001,39500100,17.9,0.0,-8.43
420001,40000100,18.0,0.0,-8.5
425001,40500100,18.4,0.0,-8.68
430001,41000100,17.8,0.0,-8.35
435001,41500100,18.3,0.0,-8.64
440001,42000100,17.9,0.0,-8.43
445001,42500100,17.9,0.0,-8.44
450001,43000100,18.1,0.0,-8.52
455001,43500100,17.7,0.0,-8.32
460001,44000100,17.5,0.0,-8.23
465001,44500100,17.6,0.0,-8.29
470001,45000100,18.1,0.0,-8.53
475001,45500100,17.7,0.0,-8.34
480001,46000100,18.6,0.0,-8.76
485001,46500100,17.7,0.0,-8.35
490001,47000100,17.6,0.0,-8.26
495001,47500100,18.2,0.0,-8.58
500001,48000100,17.7,0.0,-8.34
505001,48500100,17.9,0.0,-8.41
510001,49000100,18.2,0.0,-8.55
515001,49500100,17.8,0.0,-8.4
